,model,throughput,response_length,latency,energy,gpu,task,parameters_count,energy_per_token,dtype,optimization,quantization,cuda-fp16
0,BAIR/koala-13b,25.50117012651914,258.85426460711886,10.06355084504128,1946.198744123579,A100,chat-concise,13,0.0020884753939714,float16,None,None,False
1,BAIR/koala-7b,32.92721737057136,247.0456682337139,7.462044263397255,1195.704790463391,A100,chat-concise,7,0.0013444486679238,float16,None,None,False
2,RWKV/rwkv-raven-7b,64.47852685919943,209.4788448623237,2.9212886777848954,736.6553304231044,A100,chat-concise,7,0.000976836018012,float16,None,None,False
3,FreedomIntelligence/phoenix-inst-chat-7b,54.276457252393016,233.5110812625924,4.103907452767313,1002.3285728676934,A100,chat-concise,7,0.0011923400040328,float16,None,None,False
4,camel-ai/CAMEL-13B-Combined-Data,26.30022114657458,282.4801880456682,10.72763999556464,2349.183087978496,A100,chat-concise,13,0.0023100765483287,float16,None,None,False
5,databricks/dolly-v2-12b,24.80980791715828,143.01410342511753,5.488031835448774,1002.4862169241038,A100,chat-concise,12,0.001947139386402,float16,None,None,False
6,lmsys/vicuna-13B,26.471361088447697,269.1239086635326,10.13281609787714,2151.007414036257,A100,chat-concise,13,0.0022201745746846,float16,None,None,False
7,lmsys/vicuna-7B,33.42934778322944,272.4801880456682,8.138669158259418,1384.4621272666218,A100,chat-concise,7,0.0014113789919477,float16,None,None,False
8,metaai/llama-13B,21.603271794897424,78.05742108797851,3.1706939710784794,671.8356437206298,A100,chat-concise,13,0.0023908170362722,float16,None,None,False
9,metaai/llama-7B,27.65154362364814,67.52249832102082,2.1186345380820564,369.4284586971132,A100,chat-concise,7,0.0015197751691128,float16,None,None,False
10,tatsu-lab/alpaca-7B,33.28849736927566,124.2155809267965,3.679997416454322,596.6560735392795,A100,chat-concise,7,0.0013342754344402,float16,None,None,False
11,Neutralzz/BiLLa-7B-SFT,33.545066744328324,142.316319677636,4.214619093185649,677.7428566151748,A100,chat-concise,7,0.0013228412949531,float16,None,None,False
12,OpenAssistant/oasst-sft-1-pythia-12b,24.918246219702905,251.1000671591672,9.773108534123995,2057.1658650100785,A100,chat-concise,12,0.0022757260440738,float16,None,None,False
13,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,33.01663685477516,206.8223640026864,6.229473677366736,998.7828710543928,A100,chat-concise,7,0.0013414394895921,float16,None,None,False
14,lmsys/fastchat-t5-3b-v1.0,19.17742489592329,312.91034251175284,20.87891858265921,1744.028456346554,A100,chat-concise,3,0.0015482145623453,float16,None,None,False
15,nomic-ai/gpt4all-13b-snoozy,26.07277221094992,216.6400268636669,8.208376720764958,1738.0828875083905,A100,chat-concise,13,0.0022285854053622,float16,None,None,False
16,openaccess-ai-collective/manticore-13b-chat-pyg,26.16054700304064,276.17058428475485,10.500794145583235,2117.0177760241745,A100,chat-concise,13,0.0021293379049149,float16,None,None,False
17,StabilityAI/stablelm-tuned-alpha-7b,45.937935977440574,244.9257891202149,5.171557462488085,1199.136379785083,A100,chat-concise,7,0.0013599769955857,float16,None,None,False
18,project-baize/baize-v2-7B,31.98482659469149,316.2058428475487,9.718332352424522,1593.2951074546695,A100,chat-concise,7,0.0013996641248224,float16,None,None,False
19,togethercomputer/RedPajama-INCITE-7B-Chat,27.099977162771395,275.3183344526528,9.708286378669252,1423.87201108125,A100,chat-concise,7,0.0014365915872055,float16,None,None,False
20,Salesforce/xgen-7b-8k-inst,48.26598174227058,274.099395567495,5.723015730856568,1272.8863495634648,A100,chat-concise,7,0.0012899683372645,float16,None,None,False
21,BAIR/koala-13b,21.207721076321384,265.5732034922767,12.1433556952537,2144.8338435191445,A100,chat,13,0.0022434009565752,float16,None,None,False
22,BAIR/koala-7b,26.5628207031951,261.0698455339154,9.620738416075923,1345.554839153794,A100,chat,7,0.0014316675766743,float16,None,None,False
23,RWKV/rwkv-raven-7b,61.52127877000437,214.78475486903963,3.0815914876914072,735.766777367353,A100,chat,7,0.0009515557121567,float16,None,None,False
24,FreedomIntelligence/phoenix-inst-chat-7b,55.838321060384565,240.3441907320349,4.122390997297159,1030.8907246474148,A100,chat,7,0.0011914518663925,float16,None,None,False
25,Neutralzz/BiLLa-7B-SFT,33.57049533371462,161.80826057756883,4.794732123814392,881.4395631296157,A100,chat,7,0.0015131756698798,float16,None,None,False
26,OpenAssistant/oasst-sft-1-pythia-12b,25.40428806568841,259.5876427132304,9.929468848113125,2060.029685359295,A100,chat,12,0.0022043825436926,float16,None,None,False
27,StabilityAI/stablelm-tuned-alpha-7b,45.42078300695383,243.87541974479515,5.208388584671265,1124.4006343183476,A100,chat,7,0.0012807092648357,float16,None,None,False
28,camel-ai/CAMEL-13B-Combined-Data,24.501197269962507,291.92008059100067,13.17006271185142,2526.4594200805864,A100,chat,13,0.0024040630638869,float16,None,None,False
29,databricks/dolly-v2-12b,22.10974954935886,153.75822699798522,7.943902623603982,1242.9209395567464,A100,chat,12,0.002245446135042,float16,None,None,False
30,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,33.19728218417469,212.4560107454668,6.392467083725633,951.077651108126,A100,chat,7,0.0012434961735934,float16,None,None,False
31,lmsys/fastchat-t5-3b-v1.0,19.29185069230553,314.29684351914034,20.68237582535769,1802.975494963065,A100,chat,3,0.0015934825204444,float16,None,None,False
32,lmsys/vicuna-13B,21.611375785831733,280.739758226998,12.738298498406271,2600.83922397583,A100,chat,13,0.0025733987396581,float16,None,None,False
33,lmsys/vicuna-7B,27.25945669782727,284.9194089993284,10.297412690598655,1531.700996306237,A100,chat,7,0.0014933082322059,float16,None,None,False
34,metaai/llama-13B,23.2013653679776,76.47078576225655,2.9742001407414107,631.5696930826057,A100,chat,13,0.0022941574891318,float16,None,None,False
35,metaai/llama-7B,27.47090162492125,60.65144392209537,1.9862404549640509,335.25658764271293,A100,chat,7,0.0015354429157592,float16,None,None,False
36,nomic-ai/gpt4all-13b-snoozy,26.56728255912365,247.795836131632,9.280741749712536,2004.732918065816,A100,chat,13,0.002247294642685,float16,None,None,False
37,openaccess-ai-collective/manticore-13b-chat-pyg,26.28076743964697,288.8153122901276,10.947609359217866,2189.247364674278,A100,chat,13,0.0021055818098528,float16,None,None,False
38,project-baize/baize-v2-7B,31.591810721211225,326.29952988582943,10.17013366094905,1588.2741897246513,A100,chat,7,0.0013520928916994,float16,None,None,False
39,tatsu-lab/alpaca-7B,28.0006749636751,132.84586971121558,4.627808613438331,684.1749345198082,A100,chat,7,0.0014305946683574,float16,None,None,False
40,togethercomputer/RedPajama-INCITE-7B-Chat,27.48563290418453,274.39456010745465,9.540005102660755,1457.8563905305575,A100,chat,7,0.0014758314024961,float16,None,None,False
41,Salesforce/xgen-7b-8k-inst,49.54232207970749,275.2686366689053,5.597276540872152,1246.0923297515117,A100,chat,7,0.0012574507668327,float16,None,None,False
42,metaai/llama-13B,23.07818834714252,114.53055742108798,4.394399051080669,930.4217461383608,A100,instruct-concise,13,0.0022566072396574,float16,None,None,False
43,metaai/llama-7B,28.422054486839865,106.21793149764945,3.3668744317152224,578.5248918737578,A100,instruct-concise,7,0.0015129400148164,float16,None,None,False
44,BAIR/koala-13b,25.68238710094553,169.5476830087307,6.410479635487899,1266.6891084620372,A100,instruct-concise,13,0.00207527510515,float16,None,None,False
45,BAIR/koala-7b,33.3282753053598,195.68065815983883,5.765067746732124,865.7973959032869,A100,instruct-concise,7,0.0012290395939048,float16,None,None,False
46,RWKV/rwkv-raven-7b,66.0701614426915,226.21087978509067,3.18886842772664,805.043430490258,A100,instruct-concise,7,0.0009885606534426,float16,None,None,False
47,FreedomIntelligence/phoenix-inst-chat-7b,53.984465765624535,195.5295500335796,3.4296249723803256,847.9469607118755,A100,instruct-concise,7,0.0012046303097384,float16,None,None,False
48,camel-ai/CAMEL-13B-Combined-Data,25.753539426678923,188.1289456010745,7.247808498485511,1586.241547011427,A100,instruct-concise,13,0.0023421310874827,float16,None,None,False
49,databricks/dolly-v2-12b,24.68014979695401,155.27535258562793,5.997897220429992,1098.335702149091,A100,instruct-concise,12,0.0019648530530866,float16,None,None,False
50,h2oai/h2ogpt-gm-oasst1-en-2048-open-llama-7b-preview-300bt-v2,32.5833896491562,213.576561450638,6.531293810193048,968.5605910006632,A100,instruct-concise,7,0.0012597103670173,float16,None,None,False
51,lmsys/fastchat-t5-3b-v1.0,35.32774199941168,284.1574882471457,12.138674304558975,1073.305966420408,A100,instruct-concise,3,0.0010492088315778,float16,None,None,False
52,lmsys/vicuna-13B,26.34627305992005,195.9079919409,7.373395581162019,1657.1269066487612,A100,instruct-concise,13,0.0023496388537508,float16,None,None,False
53,lmsys/vicuna-7B,33.203726764981546,213.17058428475488,6.385267472888481,1042.905993955669,A100,instruct-concise,7,0.0013589872655466,float16,None,None,False
54,tatsu-lab/alpaca-7B,32.842417001177665,122.1242444593687,3.658875369844624,569.2690120886454,A100,instruct-concise,7,0.0012948311929032,float16,None,None,False
55,Neutralzz/BiLLa-7B-SFT,31.28470885552271,103.00335795836132,3.208946741549069,494.7404388851737,A100,instruct-concise,7,0.0013342079560734,float16,None,None,False
56,nomic-ai/gpt4all-13b-snoozy,25.76578508237939,121.15312290127602,4.545457045249276,994.3254654130168,A100,instruct-concise,13,0.0022797721722398,float16,None,None,False
